state,side,type,year.dedicated,year.removed,status
GA,South,Building,1898,,Active
GA,South,Building,1910,,Active
GA,South,Building,1908,,Active
GA,South,Building,1908,,Active
GA,South,Building,1905,,Active
FL,South,Buildings,1916,,Active
GA,South,Buildings,1901,,Active
GA,South,Buildings,1932,,Active
GA,South,Buildings,1903,,Active
LA,South,Buildings,1965,,Active
LA,South,Buildings,1961,,Active
MS,South,Buildings,1915,,Active
NC,South,Buildings,1934,2015,Removed
NY,South,Buildings,1962,,Active
SC,South,Buildings,1940,,Active
TN,South,Buildings,1958,,Active
TN,South,Buildings,1935,2016,Removed
VA,South,Buildings,1969,,Active
AL,South,County,1874,,Active
AL,South,City,1868,,Active
AL,South,County,1867,,Active
AL,South,County,1866,,Active
AL,South,County,1866,,Active
AL,South,County,1866,,Active
AR,South,City,1870,,Active
AR,South,County,1873,,Active
CA,North,City,1889,,Active
FL,South,County,1887,,Active
FL,South,County,1887,,Active
FL,South,County,1923,,Active
FL,South,County,1861,,Active
FL,South,County,1861,,Active
GA,South,County,1918,,Active
GA,South,County,1912,,Active
GA,South,County,1861,,Active
GA,South,County,1905,,Active
GA,South,County,1905,,Active
ID,Not a State,City,1866,,Active
KY,Border,County,1870,,Active
LA,South,County,1913,,Active
LA,South,County,1912,,Active
LA,South,City,1862,,Active
MS,South,County,1870,,Active
MS,South,County,1908,,Active
MS,South,County,1906,,Active
MS,South,City,1868,,Active
MS,South,County,1866,,Active
NC,South,County,1875,,Active
NC,South,County,1881,,Active
NC,South,County,1911,,Active
NC,South,County,1907,,Active
OK,Not a State,County,1907,,Active
OK,Not a State,City,1874,,Active
SC,South,County,1902,,Active
SC,South,County,1878,,Active
SC,South,City,1888,,Active
SC,South,City,1891,,Active
TX,South,County,1888,,Active
TX,South,County,1903,,Active
TX,South,City,1876,,Active
TX,South,County,1861,,Active
TX,South,County,1904,,Active
TX,South,County,1877,,Active
TX,South,County,1889,,Active
TX,South,City,1871,,Active
TX,South,County,1867,,Active
TX,South,County,1891,,Active
TX,South,County,1887,,Active
TX,South,County,1874,,Active
TX,South,City,1887,,Active
TX,South,County,1866,,Active
TX,South,City,1881,,Active
TX,South,County,1910,,Active
TX,South,County,1873,,Active
TX,South,County,1876,,Active
TX,South,County,1889,,Active
TX,South,County,1891,,Active
TX,South,County,1902,,Active
TX,South,County,1884,,Active
TX,South,County,1889,,Active
TX,South,County,1910,,Active
TX,South,County,1875,,Active
TX,South,County,1905,,Active
TX,South,County,1884,,Active
TX,South,County,1890,,Active
TX,South,City,1870,,Active
TX,South,County,1881,,Active
VA,South,City,1884,,Active
VA,South,City,1924,,Active
